clusterTime,clusterPE,clusterMaxPE,clusterChargeBalance,clusterHits,hitPE,hitDetID,label
1867.333,97.840,43.862,0.609,6,"0.5350988051470588,1.1300223214285714,0.6342880883251834,43.86150981104623,29.983658527009876,21.695508903631254","332,344,388,393,405,420",0
11629.250,6.478,2.405,0.493,8,"0.5103180544822256,0.11859762257543104,-0.033885035021551733,0.32306827910958913,0.5094650090009001,2.0135739060832445,2.4052810339239414,0.6313501862046632","360,372,372,378,380,415,440,453",0
641.600,6.232,1.606,0.456,5,"1.3902670317524115,1.2412623355263162,1.606218204941861,0.6807295303770948,1.3133483741050118","361,384,386,420,435",1
6682.571,39.843,23.461,0.604,7,"7.814160156250001,1.8728458180147058,1.2061215753424663,2.482524671052631,0.6392561108422073,2.3670057310675188,23.460723132621954","337,343,377,384,390,407,429",0
906.275,5563.384,469.455,0.102,167,"85.53653492647057,-1.030560661764706,44.416758647926116,48.61262322932619,55.839743073453604,56.790234375000004,49.183532909844246,133.36785429267476,-0.4860498571908602,65.95814732142858,88.21503803992147,-0.3527895942408378,34.526259478400746,0.5549172794117647,101.74386160714286,71.58310675936126,-0.6926280286343613,57.67270760707171,46.65740788925895,-1.0603956338467948,40.45994924214072,8.706432507014174,4.281022537817177,1.3809750121990894,8.217581665407858,6.671505489864868,13.75732421875,13.851490050231837,10.338531199758844,14.74515310310858,1.4043002955341508,18.57631285038541,14.117043278672421,11.23568010440835,3.341524718237705,16.26760761624914,9.650072468891404,6.792893255143392,10.665622688609464,16.85007579291045,18.31486142914871,15.594225266014616,58.51344832454817,15.255581524581586,0.37497548378661083,38.66960196659483,1.9111159752155178,58.97072988013699,20.211959211793662,20.458627096036572,30.949999296804677,20.466101694915253,28.403250700101818,18.67544778963414,11.742735745614029,14.113250492125973,10.46000635901162,17.56562710174865,7.207819185513449,124.94995218828059,1.7084151878642797,12.214357832163595,1.3698345232333011,17.550415039062504,14.9946258626447,9.308230377906979,112.31339328972872,0.8226971293604652,88.59321686795928,124.4629763635865,1.1181169062774363,48.865226202928866,1.4999019351464433,1.3617530726987446,0.5920665533472803,10.886446795886071,1.452853045886076,61.55645704144906,58.774097663091084,64.51783539146504,133.6339487856751,13.20593304350989,0.3020067847788126,112.12489965329489,116.51752414415832,66.74015791814948,1.8632186943950177,0.889644962188612,1.0239309942170818,80.1769395814325,469.4552115916748,2.0201873044995184,165.06711178414082,2.9921530837004404,0.9142689977973568,57.70549368351064,2.315939545826514,0.6368833751022913,59.17477191694632,1.9219929739932888,130.92211851940203,12.66213919370229,1.5002534589694658,29.839307269313302,0.4656065584763948,0.6478004291845494,0.14170634388412012,108.6997578478507,45.58227929895943,2.114252601387406,14.266854745370367,69.98784855242995,47.91417308492921,69.9244449013158,131.7760616707402,5.028614917946927,34.51314786585365,11.09192788646877,3.6119615709459456,46.6128262606534,50.77363250780029,2.0034409626038783,66.51008330195782,64.67907714843749,101.54672017911584,2.403594226371951,9.214297321064437,2.462275693311582,1.846706769983687,36.55969378591953,17.97360746918253,1.7749192392949826,26.56850629148229,1.7448771255966586,7.298464536097852,17.42204122340426,4.537492726920092,16.94241235938711,10.337387888055094,50.12361069846583,29.786137719849247,6.597793960860501,2.2289741330030486,1.8335109803734755,2.336827720083842,2.1905723314606735,190.36618271315024,0.9883181619761711,39.078224311440664,50.91081951258534,0.10061426781143375,14.689683100469283,27.336847801393375,47.718835538321166,56.76041835330312,19.95254041414359,1.081272640030277,2.6570602483624457,2.863033911026201,1.3594261735807862,7.533499596017516,52.898823393735796,17.498406413283757,9.151424818108325,2.8760956554878048,42.20664972295265,46.553802490234354","332,332,334,335,336,337,338,339,339,340,341,341,343,343,344,347,347,348,350,350,351,354,355,355,356,357,358,360,361,362,362,363,364,365,366,367,368,369,370,371,372,373,374,375,375,376,376,377,378,379,380,381,382,383,384,385,386,387,388,389,389,390,390,391,392,393,394,394,395,396,396,397,397,397,397,398,398,399,400,401,402,403,403,404,405,406,406,406,406,407,408,408,409,409,409,410,410,410,411,411,412,412,412,413,413,413,413,414,415,415,416,417,418,419,420,420,421,422,423,424,425,426,427,428,429,429,430,430,430,432,433,433,434,435,435,436,437,437,439,440,441,442,443,443,443,446,447,448,449,450,450,450,451,452,453,454,454,455,455,455,456,457,458,460,461,462,463",1
176.000,113.379,12.221,0.275,14,"2.1703990805249513,3.254420782930108,6.468865877579538,12.066224563953494,12.221163480285961,10.104463893766454,11.843306339751956,10.862157678091396,8.232389715971465,4.0633640133876625,6.12103411259542,8.962740121497372,5.378803453947367,11.629623964608438","334,339,373,394,395,396,399,401,402,403,412,417,419,427",0
716.200,133.472,39.461,0.425,20,"5.350988051470589,7.296595982142857,14.372031594162996,9.73426606075697,16.57359101790174,34.334468270490255,2.547131689167209,1.6521179947460596,1.2038228683294663,1.204353436085973,-1.1420376753458876,-0.0982666015625,0.5572587025316454,0.1920867505656109,-5.835907404463607e-17,0.6254722845163806,0.2710802801724138,39.460915835644215,-1.6321096453287198,0.9680762145196505","332,340,347,348,350,351,355,362,365,368,387,391,398,414,421,425,432,450,454,455",0
951.874,5969.091,216.268,0.083,174,"64.3307674632353,47.09154624716461,55.31220837720139,45.0000251691366,110.62460937499999,105.56281824081466,86.91839402721774,151.68833705357144,-1.5401785714285716,82.32345181609946,61.457088694852956,94.62890624999997,77.92065322136565,107.41518301792829,88.64122020711906,-0.3731021674646128,46.93848387209956,-0.7061073166167665,3.544832007285277,6.296491989072649,7.334511731457384,14.131390436178238,19.66040259009009,23.279019059806025,11.226997198608961,16.17765273311896,9.49967846978984,16.246010259723192,4.872417824528675,10.177775159512763,6.130731301229511,6.846963205645162,10.366586538461535,11.32148875857232,14.333799463757384,14.324860074626857,75.63139816810344,4.777789938038794,0.8132408405172413,14.336953528052451,154.69632435993975,62.206459205020906,0.8683642782426777,114.44331728178881,1.3621784078663794,206.3544788099315,0.4092198202054794,89.69183098779969,82.50559737042686,9.234053288141313,0.7429698047929794,0.48823730029252926,61.158467955508485,86.79482640656823,21.225585937499996,16.39254385964912,1.3200726425438598,18.50816621555119,4.22984846620735,30.341853651889533,14.828362197348193,8.687824724938869,9.131184624791832,17.876340528194582,14.2486572265625,2.692504882812501,34.73544982747106,27.266533430232553,22.822227773740305,45.083422470753895,40.0658558082748,0.7868230081211588,17.367285564853557,1.0657197960251048,0.9275709335774058,0.9275709335774057,18.926893789556953,0.696573378164557,11.412267460835508,23.873105024080548,18.343098958333325,50.55929910469264,46.67377582945286,85.04634127187272,0.807790976358898,36.73887013190953,107.19382506672596,144.8607507413321,1.5493128421532845,-0.3227735087819343,113.8114510647257,0.06809620127526468,111.97717338931716,2.763585834251101,0.6649229074889869,45.75910552628886,1.0614722918371524,22.476011954697984,97.49647145356235,73.40388613197425,216.26833816459273,0.29880161199095023,85.32519427027746,3.1965485759071504,0.9123022762345678,8.598934220679014,2.3875144675925926,2.3098717206790127,54.4992423516856,21.600651800582835,15.052768640350868,76.9663549668296,29.55436225294364,9.055377192559755,2.4729544140323827,1.9701608568796063,1.0528564453125,23.786343055284703,0.936390884695291,4.202870715027701,0.7839551592797785,1.7856756405817178,1.8074521727839339,21.249941170933717,77.70922851562507,107.19619378810978,10.65703698511419,0.8271707407218597,15.090135596264366,1.4096174568965516,44.49538920577424,2.509368579692907,0.48963289359861606,21.976934112278744,11.876421725835305,27.899351728723403,21.90072094404576,8.6052228473336,11.966544703433383,26.661928748919614,27.001094338881916,1.6986789415829149,30.932746754169823,1.9310616470811217,23.583984374999996,1.9255837429775278,105.55342304913299,1.908530527456647,1.375893911770748,120.48960540254238,2.3031978283898304,90.33148964110495,26.763395237841298,120.0916296445881,115.42380674041974,137.14555335168396,0.32585816062176165,97.53895267895763,15.571608897379917,2.863033911026201,0.9474788482532751,2.8324384904086743,4.032290906484571,67.75262733014765,83.75726926748392,6.87165973871734,1.2137442473277908,14.203773936438962,1.1629935706345997,1.1248626338924816,10.43064024390244,37.61742962293386,0.6733218679564238,72.47161865234378","332,334,335,336,337,338,339,340,340,341,343,344,347,348,350,350,351,351,353,354,355,356,357,358,360,361,362,363,364,365,366,367,368,369,370,371,372,372,372,373,374,375,375,376,376,377,377,378,379,380,380,380,381,382,383,384,384,385,385,386,387,388,389,390,391,391,392,393,394,395,396,396,397,397,397,397,398,398,399,400,401,402,403,404,404,405,406,407,407,407,408,408,409,409,409,410,410,411,412,413,414,414,415,415,416,416,416,416,417,418,419,420,421,422,422,423,424,425,426,426,426,426,426,427,428,429,430,430,432,432,433,433,433,434,435,436,437,438,439,440,441,441,442,442,443,446,447,447,448,449,449,450,450,451,452,453,453,454,455,455,455,456,456,457,458,459,459,460,460,460,461,462,462,463",0
6406.364,25.835,7.804,0.552,11,"2.4921220602448453,0.646136558219178,0.4539349573490814,7.803665571515899,1.014364919354839,2.230205521686523,3.2136032320364856,2.897511110852569,2.8097077438570364,1.3341305029653283,0.9397449712643678","336,377,385,388,401,404,404,404,404,407,432",0
972.909,198.948,29.259,0.260,22,"7.531020220588235,6.343067735337005,6.573177880934151,3.444396343427835,6.807910156249997,19.66587834464856,1.6694755964381724,9.742129746303766,9.741629464285712,9.93102707787958,6.901783662683828,17.054966517857142,10.787681545980169,6.558414778386454,9.307917230432965,7.272905361152696,1.4033746498261204,27.84403369413408,0.5854829325058186,29.258629079564844,0.40005143123990305,0.122833251953125","332,334,335,336,337,338,339,339,340,341,343,344,347,348,350,351,360,420,437,450,451,463",0
